date,mean,std,q05,q25,q50,q75,q95
2007-05-01,0.3756656207978485,0.058547664549971824,0.24,0.35000000000000003,0.39,0.41000000000000003,0.46
2007-05-09,0.2647220977140296,0.049441536952607786,0.19,0.23,0.27,0.29,0.35000000000000003
2007-05-17,0.3675728372926939,0.048865235667175266,0.25,0.34,0.38,0.4,0.42
2007-05-25,0.4305020170327208,0.07872054454264023,0.27,0.38,0.45,0.49,0.53
2007-06-02,0.5074025100851637,0.11035068493081057,0.31,0.43,0.52,0.59,0.67
2007-06-10,0.5577947108919767,0.08818034466836022,0.39,0.51,0.56,0.61,0.68
2007-06-18,0.48204168534289565,0.09069221849426512,0.34,0.43,0.48,0.54,0.6
2007-06-26,0.5014612281488122,0.09052621798981064,0.34050000000000014,0.45,0.49,0.56,0.65
2007-07-04,0.42208874943971314,0.1107512070564484,0.27,0.34,0.4,0.48,0.62
2007-07-12,0.5596324518153294,0.09664775352323797,0.37,0.5,0.5700000000000001,0.63,0.72
2007-07-20,0.5452092709270928,0.1352875603389194,0.26,0.48,0.5700000000000001,0.63,0.73
2007-07-28,0.340007197696737,0.15264203902828144,0.14,0.21,0.32,0.44,0.61
2007-08-05,0.5314051994621246,0.08029569037738415,0.4,0.48,0.53,0.59,0.66
2007-08-13,0.5528316559926807,0.16385602774023722,0.18,0.47000000000000003,0.59,0.66,0.75
2007-08-21,0.22719418960244647,0.09750951759333625,0.09,0.15,0.22,0.28,0.38
2007-08-29,0.4789041713641488,0.10505753432340151,0.27,0.42,0.5,0.55,0.62
2007-09-06,0.6121649484536082,0.12700907773274053,0.41000000000000003,0.54,0.61,0.7000000000000001,0.8
2007-09-14,0.631429852084267,0.07358721281356458,0.49,0.59,0.64,0.68,0.74
2007-09-22,0.6365329448677723,0.059476395766033884,0.55,0.6,0.63,0.67,0.74
2007-09-30,0.6655849394890184,0.05598036912580696,0.5700000000000001,0.63,0.68,0.71,0.75
2007-10-08,0.6228305692514569,0.06556575478432275,0.51,0.59,0.63,0.67,0.72
2007-10-16,0.5333146571044375,0.05297910293405603,0.44,0.5,0.53,0.5700000000000001,0.61
2007-10-24,0.5391035410129986,0.08583287494513611,0.38,0.49,0.55,0.59,0.6900000000000001
2007-11-01,0.509661586732407,0.09087747574334512,0.34,0.46,0.51,0.55,0.68
2007-11-09,0.414305244285074,0.09108194262756605,0.27,0.35000000000000003,0.42,0.47000000000000003,0.56
2007-11-17,0.4009861048857015,0.08939542585956474,0.26,0.34,0.39,0.47000000000000003,0.55
2007-11-25,0.3251232631107127,0.09116911132119594,0.21,0.25,0.32,0.38,0.49
2007-12-03,0.30803227252353205,0.0890833384068116,0.17,0.25,0.3,0.37,0.46
2007-12-11,0.3000112057373375,0.08670069309820887,0.17,0.24,0.28,0.36,0.47000000000000003
2007-12-19,0.2728440161362618,0.0802738050797898,0.16,0.22,0.25,0.32,0.43
2007-12-27,0.24948901837740925,0.07762243977073616,0.14,0.2,0.24,0.28,0.42
2008-01-01,0.24382431828341528,0.0672618331985063,0.14,0.21,0.24,0.28,0.38
2008-01-09,0.2609856951274028,0.0772208848780681,0.16,0.22,0.25,0.29,0.43000000000000005
2008-01-17,0.24043808672329012,0.06785845623579305,0.15,0.2,0.23,0.26,0.38
2008-01-25,0.23458649977648635,0.07103281275780136,0.14,0.18,0.23,0.25,0.4
2008-02-02,0.20535091640590072,0.0539318993530136,0.14,0.16,0.2,0.23,0.33
2008-02-10,0.21238042020563253,0.059069957170674224,0.14,0.17,0.21,0.23,0.35000000000000003
2008-02-18,0.17399195350916408,0.04239136820122595,0.13,0.15,0.16,0.19,0.2569999999999891
2008-02-26,0.1796177916852928,0.043225574041076256,0.13,0.16,0.17,0.19,0.27
